City,Country,State,Population (2018),Population (2010),2016 Land Area (sq mi),Type,Body,Mayor,Time zone
New York City, United States, New York,8398748,8175133,301.5 sq mi,Mayor–Council,New York City Council,Bill de Blasio (D),UTC−05:00 (EST)
Los Angeles, United States, California,3990456,3792621,468.7 sq mi,Mayor-Council-Commission,Los Angeles City Council,Eric Garcetti (D),UTC−08:00 (Pacific)
Chicago, United States, Illinois,2705994,2695598,227.3 sq mi,Mayor–council,Chicago City Council,Lori Lightfoot (D),UTC−06:00 (Central)
Houston, United States, Texas,2325502,2100263,637.5 sq mi,Mayor–council,Houston City Council,Sylvester Turner (D),UTC−6 (CST)
Phoenix, United States, Arizona,1660272,1445632,517.6 sq mi,Council-Manager,Phoenix City Council,Kate Gallego,UTC−7 (MST (no DST))
Philadelphia, United States, Pennsylvania,1584138,1526006,134.2 sq mi,"Mayor–council, consolidated city-county",Philadelphia City Council,Jim Kenney (D),UTC-5 (EST)
San Antonio, United States, Texas,1532233,1327407,461.0 sq mi,Council-Manager,San Antonio City Council,Ron Nirenberg (I),UTC−6 (CST)
San Diego, United States, California,1425976,1307402,325.2 sq mi,Strong mayor,San Diego City Council,Kevin Faulconer (R),UTC−8 (Pacific)
Dallas, United States, Texas,1345047,1197816,340.9 sq mi,Council–Manager,Dallas City Council,Mike Rawlings (D),UTC−6 (Central)
San Jose, United States, California,1030119,945942,177.5 sq mi,Council–manager,San Jose City Council,Sam Liccardo (D),UTC−8 (Pacific Time Zone)
Austin, United States, Texas,964254,790390,312.7 sq mi,Council–manager,,Steve Adler (D),UTC−6 (CST)
Jacksonville,United States, Florida,903889,821784,747.4 sq mi,Strong Mayor–Council,Jacksonville City Council,Lenny Curry (R),UTC−5 (Eastern (EST))
Fort Worth,United States, Texas,895008,741206,342.9 sq mi,Council-Manager,Fort Worth City Council,Betsy Price (R),UTC−6 (CST)
Columbus, United States, Ohio,892533,787033,218.5 sq mi,,,Andrew J. Ginther (D),UTC-5 (EST)
San Francisco, United States, California,883305,805235,46.9 sq mi,Mayor-council,Board of Supervisors,London Breed (D),UTC−8 (Pacific Time Zone)
Charlotte, United States, North Carolina,872498,731424,305.4 sq mi,Council-manager,"City Council of Charlotte, North Carolina",Vi Lyles (D),UTC−5 (EST)
Indianapolis, United States, Indiana,867125,820445,361.5 sq mi,Strong mayor–council,Indianapolis City-County Council,Joe Hogsett (D),UTC−5 (EST)
Seattle,United States, Washington,744955,608660,83.8 sq mi,Mayor–council,Seattle City Council,Jenny Durkan (D),UTC−8 (PST)
Denver, United States, Colorado,716492,600158,153.3 sq mi,Consolidated City and County,Denver City Council,Michael Hancock (D),UTC−7 (MST)
Washington D.C.,United States, District of Columbia,702455,601723,61.1 sq mi,,,Muriel Bowser (D),UTC−5 (EST)
Boston, United States, Massachusetts,694583,617594,48.3 sq mi,Strong mayor / Council,,Marty Walsh (D),UTC−5 (EST)
El Paso, United States, Texas,682669,649121,256.8 sq mi,Council–manager,,,UTC−7 (MST)
Detroit, United States, Michigan,672662,713777,138.8 sq mi,Mayor–council,Detroit City Council,Mike Duggan (D),UTC−5 (EST)
Nashville,United States, Tennessee,669053,601222,475.9 sq mi,,,David Briley (D[1]),UTC−6 (CST)
Portland,United States, Oregon,653115,583776,133.5 sq mi,Commission,,Ted Wheeler (D),UTC−08:00 (PST)
